campo_64;campo_34;campo_36;campo_38;campo_53;campo_80;campo_39;campo_62;campo_61;campo_100;campo_22;campo_75;campo_70;campo_71;campo_72;campo_73;campo_69;campo_68;campo_84;campo_83;campo_74;campo_87;campo_86;campo_85;campo_94;campo_93;campo_7;campo_35;campo_37;campo_91;campo_101;campo_92;campo_26;campo_23;campo_97;campo_10;campo_11;campo_12;campo_13;campo_51;campo_81;campo_77;campo_76;campo_78;campo_79;campo_95;campo_46;campo_20;campo_2;campo_104;campo_60_cat;Presenta_union
Clave;ENSAYOS Y ANALISIS TECNICOS;0.0;0.0;0.0;1152441830.0;3.0;70.0;42.0;0.0;2.0;3188217665.0;116011428.0;4877359639.0;3953083220.0;677824082.0;0.0;113812792.0;2091183743.0;6633453887.0;6633144370.0;663547553.0;1223107158.0;350500949.0;3624395509.0;6690964768.0;0.0;0.0;0.0;11.0;12.0;243.0;7535455744.0;16386849.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1001764219.0;1001764219.0;1210573834.0;1152441830.0;6328423947.0;ACTEMP;PERSONA JURIDICA COMERCIAL;0.0;26.0;5;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;182997125.0;1.0;1.0;13.0;1.0;8.0;0.0;589747778.0;1073960725.0;891682867.0;0.0;0.0;9425674.0;82163677.0;265089681.0;252577186.0;275734.0;0.0;0.0;2286303.0;0.0;0.0;1.0;1.0;0.0;12.0;9.0;11404635584.0;2509661952.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;12195015.0;12195015.0;182926004.0;182997125.0;225773999.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;29.0;6;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;39067086.0;39067086.0;39603174.0;0.0;0.0;0.0;536088.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2033020672.0;403052576.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-536088.0;-536088.0;0.0;NOVATOS;PERSONA JURIDICA COMERCIAL;0.0;2.0;3;1
Alto;CULTIVO DE PLANTAS PERENNES;1.0;1.0;0.0;156795618.0;1.0;13.0;43.0;0.0;2.0;224817882.0;2406682862.0;2617549028.0;2495119780.0;148797598.0;0.0;34777601.0;190213182.0;548129829.0;547933404.0;36449165.0;137024486.0;7626533.0;198685958.0;721181504.0;0.0;1.0;1.0;2.0;12.0;93.0;43960246272.0;1662189824.0;1.0;1.0;1.0;0.0;0.0;0.0;7557800.0;42434385.0;42434385.0;122429248.0;156795618.0;520536730.0;AGROP;PERSONA JURIDICA COMERCIAL;0.0;25.0;5;1
Clave;CULTIVO DE PLANTAS PERENNES;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;2090555322.0;2422987330.0;2400333095.0;0.0;0.0;0.0;11078692.0;34716953.0;0.0;117415775.0;85258677.0;0.0;593967489.0;448729880.0;0.0;0.0;0.0;1.0;12.0;2.0;127458561024.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;22654235.0;-92603286.0;0.0;AGROP;PERSONA JURIDICA COMERCIAL;0.0;6.0;4;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;26116648405.0;25594952720.0;26029870443.0;0.0;0.0;0.0;1412343410.0;896033299.0;0.0;1404730.0;0.0;0.0;7034106.0;0.0;0.0;1.0;1.0;0.0;0.0;12.0;24273960704.0;10816605184.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-434917723.0;-656193555.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;15.0;5;1
Bajo;"CURTIDO Y ADOBO DE CUEROS; FABRICACION PRODUCTOS DE CUERO; ADOBO Y TEÑIDO DE PIELES";1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;959639.0;0.0;301656914.0;303956596.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;12.0;0.0;42497666944.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-959639.0;-2299682.0;0.0;MANUFACT;PERSONA JURIDICA COMERCIAL;1.0;29.0;6;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;19919041.0;20281106.0;20672821.0;0.0;0.0;0.0;8074.0;14168.0;14168.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3448322.0;3829568.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-391715.0;-777454.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;3.0;3;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;0.0;1.0;0.0;9.0;0.0;2.0;0.0;168611546.0;185865472.0;186035672.0;0.0;303025.0;0.0;1443903.0;1200000.0;1200000.0;0.0;0.0;0.0;87487.0;0.0;1.0;1.0;1.0;0.0;12.0;2.0;252802544.0;107616976.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-243903.0;-170200.0;1200000.0;INMO;PERSONA JURIDICA COMERCIAL;1.0;5.0;4;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;14.0;0.0;47234997.0;908066526.0;914440138.0;0.0;0.0;0.0;6621331.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;1.0;33898709712.0;19275632.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-6373612.0;-19045341.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;8.0;4;1
